STATION_NUMBER,PEARSEDA,PERSEDA_CODE
05PD,Winnipeg,13
05PE,Winnipeg,13
05PF,Winnipeg,13
05PG,Winnipeg,13
05PH,Winnipeg,13
05PJ,Winnipeg,13
05QA,Winnipeg,13
05QB,Winnipeg,13
05QC,Winnipeg,13
05QD,Winnipeg,13
05QE,Winnipeg,13
05RA,Lower Saskatchewan - Nelson,14
05RB,Lower Saskatchewan - Nelson,14
05RC,Lower Saskatchewan - Nelson,14
05RD,Lower Saskatchewan - Nelson,14
05RE,Lower Saskatchewan - Nelson,14
05RF,Lower Saskatchewan - Nelson,14
05SA,Lower Saskatchewan - Nelson,14
05SB,Lower Saskatchewan - Nelson,14
05SC,Lower Saskatchewan - Nelson,14
05SD,Lower Saskatchewan - Nelson,14
05SE,Lower Saskatchewan - Nelson,14
05SF,Lower Saskatchewan - Nelson,14
05SG,Lower Saskatchewan - Nelson,14
05SH,Lower Saskatchewan - Nelson,14
05TA,Lower Saskatchewan - Nelson,14
05TB,Lower Saskatchewan - Nelson,14
05TC,Lower Saskatchewan - Nelson,14
05TD,Lower Saskatchewan - Nelson,14
05TE,Lower Saskatchewan - Nelson,14
05TF,Lower Saskatchewan - Nelson,14
05TG,Lower Saskatchewan - Nelson,14
05UA,Lower Saskatchewan - Nelson,14
05UB,Lower Saskatchewan - Nelson,14
05UC,Lower Saskatchewan - Nelson,14
05UD,Lower Saskatchewan - Nelson,14
05UE,Lower Saskatchewan - Nelson,14
05UF,Lower Saskatchewan - Nelson,14
05UG,Lower Saskatchewan - Nelson,14
05UH,Lower Saskatchewan - Nelson,14
06AA,Churchill,15
06AB,Churchill,15
06AC,Churchill,15
06AD,Churchill,15
06AE,Churchill,15
06AF,Churchill,15
06AG,Churchill,15
06BA,Churchill,15
06BB,Churchill,15
06BC,Churchill,15
06BD,Churchill,15
06CA,Churchill,15
06CB,Churchill,15
06CC,Churchill,15
06CD,Churchill,15
06CE,Churchill,15
06DA,Churchill,15
06DB,Churchill,15
06DC,Churchill,15
06DD,Churchill,15
06EA,Churchill,15
06EB,Churchill,15
06EC,Churchill,15
06FA,Churchill,15
06FB,Churchill,15
06FC,Churchill,15
06FD,Churchill,15
06FE,Churchill,15
06GA,Keewatin - Southern Baffin,16
06GB,Keewatin - Southern Baffin,16
06GC,Keewatin - Southern Baffin,16
06GD,Keewatin - Southern Baffin,16
06GE,Keewatin - Southern Baffin,16
06HA,Keewatin - Southern Baffin,16
06HB,Keewatin - Southern Baffin,16
06HC,Keewatin - Southern Baffin,16
06HD,Keewatin - Southern Baffin,16
06HE,Keewatin - Southern Baffin,16
06JA,Keewatin - Southern Baffin,16
06JB,Keewatin - Southern Baffin,16
06JC,Keewatin - Southern Baffin,16
06JD,Keewatin - Southern Baffin,16
06KA,Keewatin - Southern Baffin,16
06KB,Keewatin - Southern Baffin,16
06KC,Keewatin - Southern Baffin,16
06LA,Keewatin - Southern Baffin,16
06LB,Keewatin - Southern Baffin,16
06LC,Keewatin - Southern Baffin,16
06MA,Keewatin - Southern Baffin,16
06MB,Keewatin - Southern Baffin,16
06MC,Keewatin - Southern Baffin,16
06NA,Keewatin - Southern Baffin,16
06NB,Keewatin - Southern Baffin,16
06NC,Keewatin - Southern Baffin,16
06OA,Keewatin - Southern Baffin,16
06OB,Keewatin - Southern Baffin,16
06PA,Keewatin - Southern Baffin,16
06QA,Keewatin - Southern Baffin,16
06RA,Keewatin - Southern Baffin,16
06RB,Keewatin - Southern Baffin,16
06RC,Keewatin - Southern Baffin,16
06SA,Keewatin - Southern Baffin,16
06SB,Keewatin - Southern Baffin,16
06SC,Keewatin - Southern Baffin,16
06SD,Keewatin - Southern Baffin,16
06SE,Keewatin - Southern Baffin,16
06TB,Keewatin - Southern Baffin,16
07AA,Peace - Athabasca,6
07AB,Peace - Athabasca,6
07AC,Peace - Athabasca,6
07AD,Peace - Athabasca,6
07AE,Peace - Athabasca,6
07AF,Peace - Athabasca,6
07AG,Peace - Athabasca,6
07AH,Peace - Athabasca,6
07B0,Peace - Athabasca,6
07BA,Peace - Athabasca,6
07BB,Peace - Athabasca,6
07BC,Peace - Athabasca,6
07BD,Peace - Athabasca,6
07BE,Peace - Athabasca,6
07BF,Peace - Athabasca,6
07BG,Peace - Athabasca,6
07BH,Peace - Athabasca,6
07BJ,Peace - Athabasca,6
07BK,Peace - Athabasca,6
07CA,Peace - Athabasca,6
07CB,Peace - Athabasca,6
07CC,Peace - Athabasca,6
07CD,Peace - Athabasca,6
07CE,Peace - Athabasca,6
07DA,Peace - Athabasca,6
07DB,Peace - Athabasca,6
07DC,Peace - Athabasca,6
07DD,Peace - Athabasca,6
07EA,Peace - Athabasca,6
07EB,Peace - Athabasca,6
07EC,Peace - Athabasca,6
07ED,Peace - Athabasca,6
07EE,Peace - Athabasca,6
07EF,Peace - Athabasca,6
07FA,Peace - Athabasca,6
07FB,Peace - Athabasca,6
07FC,Peace - Athabasca,6
07FD,Peace - Athabasca,6
07GA,Peace - Athabasca,6
07GB,Peace - Athabasca,6
07GC,Peace - Athabasca,6
07GD,Peace - Athabasca,6
07GE,Peace - Athabasca,6
07GF,Peace - Athabasca,6
07GG,Peace - Athabasca,6
07GH,Peace - Athabasca,6
07GJ,Peace - Athabasca,6
07HA,Peace - Athabasca,6
07HB,Peace - Athabasca,6
07HC,Peace - Athabasca,6
07HD,Peace - Athabasca,6
07HE,Peace - Athabasca,6
07HF,Peace - Athabasca,6
07JA,Peace - Athabasca,6
