Station,OriginalDrainageArea,HasShapefile,BorderStation,GoesOutsidePDA,FinalArea,Comments
07BG004,23.7,Yes,,No ,23.7,
07BH003,834.5,Yes,,No,834.5,
07BJ001,1900.4,Yes,,No ,1900.4,
07BJ003,155.1,Yes,,No ,155.1,
07BK001,13567,Yes,,No ,13567,
07BK005,2595.6,Yes,,No ,2595.6,
07BK007,2100.4,Yes,,No ,2100.4,
07BK009,230.3,Yes,,No,230.3,
07CA003,183.6,Yes,,No ,183.6,
07CA005,1456.4,Yes,,No ,1456.4,
07CA006,1120.4,Yes,,No ,1120.4,
07CA008,219.3,Yes,,No ,219.3,
07CA012,425,Yes,,No ,425,
07CA013,3078.3,Yes,,No ,3078.3,
07CB002,780.6,Yes,,No,780.6,
07CD001,30799.4,Yes,,No ,30799.4,
07CD004,962,Yes,,No ,962,
07CD005,17023.2,Yes,,No ,17023.2,
07CE002,4862.9,Yes,,No ,4862.9,
07CE003,279.2,Yes,,No ,279.2,
07DA001,132588,Yes,,No ,132588,
07DA006,1319.85,Yes,,No ,1319.85,
07DA008,1461,Yes,,No ,1461,
07DA018,164.8,Yes,,No ,164.8,
07DB001,5569.3,Yes,,No ,5569.3,
07DD001,155000,Yes,,No ,155000,
07DD002,2730.9,Yes,,No ,2730.9,
07EA004,4140,Yes,,No ,4140,
07EA005,15600,Yes,,No ,15600,
07EA007,1690,Yes,,No ,1690,
07EB002,2190,Yes,,No ,2190,
07EC004,1950,Yes,,No ,1950,
07ED003,6790,Yes,,No ,6790,
07EE007,4930,Yes,,No ,4930,
07EE009,310,Yes,,No ,310,
07EE010,3710,Yes,,No,3710,
07EF001,73100,Yes,,No ,73100,
07EF004,741,Yes,,No ,741,
07FA003,3780,Yes,,No ,3780,
07FA004,87200,Yes,,No ,87200,
07FA005,2140,Yes,,No ,2140,
07FA006,9340,Yes,,No,9340,
07FB001,12100,Yes,,No ,12100,
07FB002,5550,Yes,,No ,5550,
07FB003,2590,Yes,,No ,2590,
07FB004,82.4,Yes,,No ,82.4,
07FB006,2370,Yes,,No ,2370,
07FB008,1520,Yes,,No ,1520,
07FB009,486,Yes,,No ,486,
07FC001,15600,Yes,,No ,15600,
07FC003,1770,Yes,,No ,1770,
07FD001,3630,Yes,,No ,3630,
07FD002,101000,Yes,,No ,101000,
07FD003,135397,Yes,,No ,135397,
07FD004,295,Yes,,No ,295,
07FD006,538,Yes,,No ,538,
07FD007,2860,Yes,,No ,2860,
07FD009,2878.6,Yes,,No ,2878.6,
07FD010,121000,Yes,,No ,121000,
07FD011,374,Yes,,No,374,
07FD012,230,Yes,,No ,230,
07FD013,755.2,Yes,,No ,755.2,
07FD020,134,Yes,,No ,134,
07FD908,8.1,Yes,,No ,8.1,
07FD910,13,Yes,,No ,13,
07GA001,3874.1,Yes,,No ,3874.1,
07GA002,702.9,Yes,,No ,702.9,
07GB001,842.2,Yes,,No ,842.2,
07GB003,3370.9,Yes,,No ,3370.9,
07GC002,493.8,Yes,,No ,493.8,
07GD001,1610,Yes,,No ,1610,
07GD004,1248.6,Yes,,No,1248.6,
07GE001,11300,Yes,,No ,11300,
07GE002,NA,Yes,,No ,15.57,
07GE003,139.7,Yes,,No ,139.7,
07GE007,181,Yes,,No ,181,
07GF001,5037.6,Yes,,No ,5037.6,
07GF008,634.8,Yes,,No ,634.8,
07GG001,1040,Yes,,No ,1040,
07GG002,3009.1,Yes,,No ,3009.1,
07GG003,1950,Yes,,No ,1950,
07GH002,11100,Yes,,No ,11100,
07GH004,540.5,Yes,,No ,540.5,
07GJ001,50300,Yes,,No ,50300,
07HA001,194374,Yes,,No ,194374,
07HA003,1968.1,Yes,,No ,1968.1,
07HA005,2019.8,Yes,,No ,2019.8,
07HB001,878.7,Yes,,No ,878.7,
07HC001,4678.8,Yes,,No ,4678.8,
07HC002,232,Yes,,No ,232,
07HC907,31.4,Yes,,No ,31.4,
07HF001,227026,Yes,,No ,227026,
07HF002,648.6,Yes,,No ,648.6,
07JA003,1030,Yes,,No ,1030,
07JC001,492.1,Yes,,No ,492.1,
07JC002,617.8,Yes,,No ,617.8,
07JC003,6800.9,Yes,,No ,6800.9,
07JD002,35800,Yes,,No ,35800,
07JD003,582.2,Yes,,No ,582.2,
07JD004,136,Yes,,No ,136,
07JF002,6660,Yes,,No ,6660,
07JF003,2435.6,Yes,,No ,2435.6,
07JF005,200.4,Yes,,No ,200.4,
07KC001,293000,Yes,,No ,293000,
07KE001,9856.4,Yes,,No ,9856.4,
07LB002,3160,Yes,,No ,3160,
07LE002,50700,Yes,,No ,50700,
07MA003,1690,Yes,,No ,1690,
07MB001,9120,Yes,,No ,9120,
07NB001,606000,Yes,,Yes,116213.71,
07OA001,819.6,Yes,,No ,819.6,
07OB001,51700,Yes,,No ,51700,
07OB003,36900.6,Yes,,No ,36900.6,
07OB004,2597.7,Yes,,No ,2597.7,
07OB006,292,Yes,,No ,292,
07OC001,10369.6,Yes,,No ,10369.6,
07QC005,3780,Yes,,No,3780,
07QC006,2170,Yes,,No ,2170,
07QC007,NA,Yes,,No ,25640.94,
07QD004,9660,Yes,,No ,9660,
07QD007,NA,Yes,,No ,56241,
07RD001,26600,Yes,,No ,26600,
07SA002,13300,Yes,,No ,13300,
07SA008,NA,Yes,,No ,7902.89,
07SB002,16300,Yes,,No ,16300,
07SB003,11300,Yes,,No ,11300,
07SB010,3630,Yes,,No ,3630,
07SB013,121,Yes,,No ,121,
07SC002,1830,Yes,,No ,1830,
07SC004,NA,Yes,,No ,3169.99,
07SC005,NA,Yes,,No ,1639.78,
07TA001,13900,Yes,,No ,13900,
08AA003,8450,Yes,,No ,8450,
08AA008,1240,Yes,,No ,1240,
08AA009,190,Yes,,No ,190,
08AA010,3000,Yes,,No ,3000,
